"","B_SEPSIS.C.7","B_PNEUM.C.7","B_HIVAIDS.C.7","B_DIARR.C.7","B_MALAR.C.7","B_MEAS.C.7","B_MENING.C.7","B_TETAN.C.7","B_TB_PUL.C.7","B_PERTUS.C.7","B_HEMFEV.C.7","B_INF_OU.C.7","B_ORAL_M.C.7","B_DIG_M.C.7","B_RESP_M.C.7","B_BREA_M.C.7","B_REPR_M.C.7","B_OU_M.C.7","B_ANAEM.C.7","B_MALNUT.C.7","B_DIABET.C.7","B_CARD_AC.C.7","B_SICKLE.C.7","B_STROKE.C.7","B_CARD_OU.C.7","B_COPD.C.7","B_ASTHM.C.7","B_AC_ABD.C.7","B_LIVER.C.7","B_KIDNEY.C.7","B_EPILEP.C.7","B_NCD_OU.C.7","B_CONGEN.C.7","B_P_SML.C.7","B_P_ASPH.C.7","B_P_PNEU.C.7","B_P_SEPS.C.7","B_P_OU.C.7","B_STB_F.C.7","B_STB_M.C.7","B_ACC_TRF.C.7","B_ACC_TRO.C.7","B_FALL.C.7","B_DROWN.C.7","B_FIRE.C.7","B_VENOM.C.7","B_FORCE.C.7","B_POIS.C.7","B_SUIC.C.7","B_ASSAULT.C.7","B_EXT_OU.C.7","B_ECTOP.C.7","B_ABORT.C.7","B_PIH.C.7","B_HAEM.C.7","B_OBS_LB.C.7","B_O_SEPS.C.7","B_PANAEM.C.7","B_UT_RUP.C.7","B_MAT_OU.C.7"
"B_SEPSIS.C.7",0,0.513321307488991,0.670175109001099,0.791624378390703,0.455953119206856,0.541671720088447,0.534906892845788,0.565473802935751,0.841745646890801,1,0.468367807301241,0.380048169899244,0.724089201080775,0.759311815282961,0.766090294784312,0.713769369288033,0.786914733578458,0.675455561471254,0.696963113468427,0.818612381500201,0.722754735773673,0.615788913702936,0.610394584916302,0.713213752759772,0.689456175661279,0.819359128602897,0.696192255924724,0.638334325393031,0.70960918645842,0.654479626882843,0.719021847107409,0.587024688570419,1,1,1,1,1,1,1,1,0.721914138179211,0.699523922508365,0.67174384067848,0.747994521177218,0.704028636889506,0.666698593742186,0.669409323597452,0.660343161085866,0.684338921965552,0.750551032707824,0.61981968583924,1,1,1,1,1,1,1,1,1
"B_PNEUM.C.7",0,0,0.649633335820078,0.839404259909771,0.513641993759979,0.576413603313041,0.638972354842184,0.712985411696626,0.645682267541266,1,0.617741473977765,0.542314337447901,0.781226188098077,0.810632900631708,0.689840345625412,0.754253363448163,0.821466977351828,0.75769496340738,0.618441138274814,0.857290405720638,0.78554663564517,0.696709826549745,0.751700758649587,0.768681458520089,0.740175111189787,0.646357236949537,0.578648867471463,0.735930185635948,0.787357624376655,0.758223230850903,0.797580560825269,0.719218298912944,1,1,1,1,1,1,1,1,0.815645360475788,0.798656198558709,0.777878104314879,0.833103533977643,0.793071323351043,0.749366080522093,0.780327741925032,0.771937210936403,0.780260845686428,0.825831813833512,0.755174985140817,1,1,1,1,1,1,1,1,1
"B_HIVAIDS.C.7",0,0,0,0.71351893012206,0.723507412280773,0.759767015431191,0.782643730532214,0.752126093428958,0.624518573232147,1,0.795866678504835,0.6962115069331,0.574622813963571,0.598990857470952,0.587544513358165,0.596626140602264,0.677684463265981,0.535806007817131,0.587061455684315,0.550651253650176,0.697492949195976,0.792569033261523,0.564198337794505,0.787726463623249,0.686940499708005,0.680907482726073,0.741128347321731,0.726288903958223,0.663152466776323,0.670218381620532,0.720165402475738,0.516221120197536,1,1,1,1,1,1,1,1,0.855822843355778,0.829177540047959,0.80477367082776,0.860119635558825,0.802562907726081,0.792965811225635,0.798742604036087,0.779842998500547,0.78563763096903,0.846172497243003,0.771275911617511,1,1,1,1,1,1,1,1,1
"B_DIARR.C.7",0,0,0,0,0.74619996934156,0.809410105757215,0.809689579525104,0.792616229211963,0.856132869252984,1,0.712663138132075,0.73146792265321,0.802336419478131,0.632577203500302,0.850968127362604,0.790912940569527,0.725841055327788,0.77760448990644,0.822673058672201,0.603062478250512,0.83061888029874,0.801727806812075,0.759577709666024,0.81396209732551,0.87698655881699,0.914945844411211,0.830208251772084,0.608328010034778,0.767499711028415,0.746487087168731,0.836240401634663,0.725718376957437,1,1,1,1,1,1,1,1,0.833981524237776,0.816245530513978,0.806819321245931,0.850850000375228,0.822424786463391,0.798135991249852,0.810708909728057,0.710577381006826,0.799990827352539,0.831742259016561,0.775143476805135,1,1,1,1,1,1,1,1,1
"B_MALAR.C.7",0,0,0,0,0,0.603643397192957,0.517135852744567,0.660378659773484,0.840754584543196,1,0.451548051167742,0.433836860639852,0.828225464832948,0.829042473114204,0.828349376130022,0.802823161947203,0.834578697346107,0.788727118976835,0.700028087965922,0.794189724227501,0.802175412108625,0.684383290945902,0.759855558058857,0.730253473200945,0.832715398009859,0.840292707129297,0.696929223676505,0.65537666801886,0.794326535897151,0.746815994654335,0.725399746095448,0.790681046500555,1,1,1,1,1,1,1,1,0.707058465598388,0.720285659500811,0.706364774200342,0.738395741295072,0.732313986622135,0.696721479159763,0.71213182444904,0.655171505442231,0.715621407925293,0.756929624905725,0.67622909958097,1,1,1,1,1,1,1,1,1
"B_MEAS.C.7",0,0,0,0,0,0,0.677255472633727,0.699159448962829,0.816781261335291,1,0.61439250046447,0.510657888427498,0.81993600023711,0.840886674167322,0.824800240213377,0.788075416280382,0.84781675841237,0.790108791367995,0.735860277622585,0.822494308925792,0.752815645708403,0.735499655028985,0.757105193821112,0.802133538007203,0.811704978107357,0.84655051686098,0.742375666827105,0.774866262866691,0.826125468472889,0.795188049731892,0.806829491437273,0.755313573664815,1,1,1,1,1,1,1,1,0.79982259612349,0.779189106981409,0.755152854224227,0.813375008534921,0.6969786474042,0.740970335991056,0.750892504069048,0.748386435329868,0.758685166115437,0.8068625721147,0.720370799934745,1,1,1,1,1,1,1,1,1
"B_MENING.C.7",0,0,0,0,0,0,0,0.603320027540763,0.896168629495154,1,0.503772520841158,0.489890328785257,0.864049481753072,0.879634651529316,0.906011902609151,0.849368261372968,0.886015812653959,0.848686223991288,0.78815468952274,0.873521440684168,0.809491379992825,0.702439105901725,0.834296216285423,0.72420518681723,0.838579181618036,0.912521906019522,0.775002579511055,0.76479481626058,0.831823684081628,0.811834891645333,0.673143533018934,0.811019748166812,1,1,1,1,1,1,1,1,0.772963006149116,0.765233815718327,0.746539442821338,0.793768474019267,0.76275714679717,0.753288102722237,0.75814793366085,0.725543623549749,0.767207766755974,0.787530645821821,0.713814392119316,1,1,1,1,1,1,1,1,1
"B_TETAN.C.7",0,0,0,0,0,0,0,0,0.848342460990445,1,0.6579020374457,0.590026504043327,0.794696177425913,0.819632857734138,0.840612029650383,0.766243411837069,0.830373827498782,0.761410404427167,0.733381475011727,0.789401816261699,0.764639547517766,0.680362708126249,0.684386426740033,0.748122536999683,0.810423677818603,0.888876391076384,0.761509095915829,0.761379901033569,0.779517731048335,0.754095905896649,0.757140895979368,0.727556209930215,1,1,1,1,1,1,1,1,0.749765403243988,0.724233860594703,0.697406427227804,0.760658329007679,0.718860255859542,0.682627854941057,0.684102423115729,0.674754495374787,0.693804586672555,0.758727926415906,0.646011332699989,1,1,1,1,1,1,1,1,1
"B_TB_PUL.C.7",0,0,0,0,0,0,0,0,0,1,0.878492487920708,0.798651979165407,0.732083826004206,0.752091331180366,0.436427509947901,0.740759768932348,0.784345252285691,0.690461218100446,0.698841402843383,0.70430685321661,0.828891166192434,0.850735388401859,0.75260931414645,0.869174068182129,0.757148420997048,0.464695329565807,0.77637424639105,0.859023751108551,0.836776448313665,0.825771763908247,0.859332063112069,0.747284442752086,1,1,1,1,1,1,1,1,0.9095889922237,0.882089651097839,0.879045010817378,0.917623875692287,0.884081805473859,0.846870903544121,0.876013381204613,0.870647732208337,0.881009915619754,0.90132253491461,0.862546202612848,1,1,1,1,1,1,1,1,1
"B_PERTUS.C.7",0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"B_HEMFEV.C.7",0,0,0,0,0,0,0,0,0,0,0,0.465165897110844,0.834108541888083,0.799733286103408,0.874973674862073,0.811077829010269,0.808553487014449,0.810532581298583,0.754047486244531,0.815588874441853,0.802649856317866,0.701782940311863,0.753648929520022,0.768174916353626,0.842510224372794,0.911703541507644,0.773429586477023,0.622480043554796,0.773391224701584,0.73361094647133,0.771328309147384,0.800654246013668,1,1,1,1,1,1,1,1,0.739248967464734,0.733493568888953,0.722043555960156,0.777137597498417,0.744299996297998,0.717498824935091,0.728755559799427,0.65241118757111,0.727117929747838,0.766205876786798,0.687804655839891,1,1,1,1,1,1,1,1,1
"B_INF_OU.C.7",0,0,0,0,0,0,0,0,0,0,0,0,0.750292037182791,0.7507704515757,0.809677794940684,0.775349652513378,0.797766421171929,0.742998835339228,0.699904385667168,0.777796010246696,0.720311435422651,0.62643748215749,0.721763680209819,0.69831195280773,0.771934055456535,0.839260491710567,0.699609401408197,0.66402938288671,0.746742376810596,0.636532196879989,0.724702039318543,0.702526073300942,1,1,1,1,1,1,1,1,0.704727816613552,0.69120214494872,0.670505963444757,0.731972305855051,0.6507567311705,0.662324413588279,0.669283439043712,0.649059536203756,0.680322026936473,0.733766962539039,0.618262891274131,1,1,1,1,1,1,1,1,1
